"rules","support","confidence","lift","count"
"{eggs,aquatic,backbone,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,backbone,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,backbone,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,legs=0,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,backbone,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,tail} => {type=pez}",0.131313131313131,0.928571428571429,7.07142857142857,13
"{feathers,eggs,airborne,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,breathes,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,legs=2,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,backbone,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,breathes} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,airborne,backbone} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,breathes,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,backbone,breathes} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,airborne,backbone,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,eggs,breathes,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,backbone,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,breathes,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone,breathes,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,breathes,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,backbone,breathes} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs,backbone,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone,breathes,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,airborne,breathes,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,legs=2,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,backbone,legs=2} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,breathes,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,backbone,breathes} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,airborne,backbone,tail} => {type=ave}",0.161616161616162,1,4.95,16
"{eggs,breathes,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,backbone,breathes,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,backbone,legs=2,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{hair,milk,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,milk,predator,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,milk,toothed,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{hair,milk,breathes,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{hair,milk,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,milk,backbone,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,predator,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{milk,toothed,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{milk,breathes,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{milk,legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,1,2.475,23
"{milk,backbone,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{milk,predator,toothed,legs=4} => {type=mamifero}",0.161616161616162,1,2.475,16
"{milk,predator,breathes,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{milk,predator,legs=4,tail} => {type=mamifero}",0.151515151515152,1,2.475,15
"{milk,predator,backbone,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{milk,toothed,breathes,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{milk,toothed,legs=4,tail} => {type=mamifero}",0.272727272727273,1,2.475,27
"{milk,toothed,backbone,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{milk,breathes,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{milk,backbone,breathes,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,backbone,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,predator,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{hair,toothed,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{hair,breathes,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,1,2.475,23
"{hair,backbone,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,predator,toothed,legs=4} => {type=mamifero}",0.161616161616162,1,2.475,16
"{hair,predator,breathes,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,predator,legs=4,tail} => {type=mamifero}",0.151515151515152,1,2.475,15
"{hair,predator,backbone,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,toothed,breathes,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{hair,toothed,legs=4,tail} => {type=mamifero}",0.272727272727273,1,2.475,27
"{hair,toothed,backbone,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{hair,breathes,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,backbone,breathes,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{hair,backbone,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{predator,toothed,legs=4,catsize} => {type=mamifero}",0.141414141414141,1,2.475,14
"{predator,breathes,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{predator,legs=4,tail,catsize} => {type=mamifero}",0.131313131313131,1,2.475,13
"{predator,backbone,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{toothed,breathes,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{toothed,legs=4,tail,catsize} => {type=mamifero}",0.222222222222222,1,2.475,22
